ID,ra,dec,F140W,F814W,F606W,z
263,53.12434900000000,-27.94314300000000,23.00557782030460,23.53899354239821,24.17893324893166,0.6718000000000000
269,53.13226100000000,-27.94329600000000,24.58283360677271,24.87152435569251,24.94613991302857,2.637300000000000
270,53.10013100000000,-27.94296600000000,24.11653147066305,24.46175955241149,25.05376808029423,0.6824000000000000
271,53.10670800000000,-27.94329700000000,25.33031820292437,26.38235699680898,26.31494037648652,1.959600000000000
273,53.12236100000000,-27.94307500000000,24.72965171300612,25.18616028417891,25.77854781831781,0.5870000000000000
274,53.10316800000000,-27.94326100000000,25.49428205045449,26.22593200710882,27.32546913863836,0.6147000000000000
275,53.09999500000000,-27.94323500000000,25.38335172287106,26.46538903358102,26.69051922223946,1.272500000000000
276,53.12826400000000,-27.94307300000000,24.43885252358978,25.37852355806592,26.05581964010518,1.043700000000000
279,53.09012500000000,-27.94294400000000,25.31177661786682,26.31158848808569,26.53661896458658,0.5261000000000000
280,53.13026300000000,-27.94314900000000,25.89806372079761,25.63909931502209,26.41710812439333,1.033400000000000
281,53.08960300000000,-27.94284200000000,24.29849717115772,24.64993885922868,25.07389104498363,0.7337000000000000
284,53.10582300000000,-27.94274600000000,22.90050006960507,22.70255595636852,23.21553131133120,0.7458000000000000
285,53.10544700000000,-27.94288700000000,24.67145703226490,24.48170864914923,25.21781813806521,0.7501000000000000
288,53.13040600000000,-27.94302200000000,25.26489972648926,25.15767313399071,26.51213850505421,4.631500000000000
289,53.12984700000000,-27.94285300000000,24.55290138280463,24.86957092922825,24.87017961268867,0.2557000000000000
290,53.10807900000000,-27.94301300000000,26.27475599992006,26.58757714386621,27.01856742918449,0.9679000000000000
291,53.10665300000000,-27.94270200000000,25.18637682562012,26.26155896278153,26.41082298861528,1.164900000000000
293,53.12747000000000,-27.94217300000000,22.95636854055891,24.00494153697832,24.84596926456152,1.062700000000000
295,53.13063900000000,-27.94283100000000,25.54527064189270,26.74547786139679,26.93239895064956,1.631500000000000
296,53.12343800000000,-27.94283900000000,25.70963674670061,26.27104953236485,27.43960711385082,0.3246000000000000
299,53.08983900000000,-27.94243100000000,23.84014291754110,24.40269101134519,24.22287868425291,1.846800000000000
