ID,RA,DEC,REDMAG,MIDMAG,BLUEMAG
175,218.8065488000000,35.16934280000000,25.62560000000000,25.95820000000000,27.80410000000000
177,218.7910162000000,35.17127900000000,23.17630000000000,23.53190000000000,28.07300000000000
178,218.7947115000000,35.16959870000000,24.29870000000000,25.50200000000000,27.05630000000000
179,218.8025325000000,35.16915850000000,28.37060000000000,28.34910000000000,22.84320000000000
180,218.8075899000000,35.16933410000000,26.99500000000000,26.79030000000000,27.75620000000000
182,218.7910208000000,35.16946800000000,26.67290000000000,26.74420000000000,25.25870000000000
183,218.8023385000000,35.16951040000000,26.95280000000000,26.94670000000000,26.96360000000000
184,218.8101232000000,35.16960280000000,26.47430000000000,27.05570000000000,27.86340000000000
185,218.7878952000000,35.16993040000000,24.90000000000000,25.73900000000000,25.22540000000000
189,218.8043552000000,35.16961060000000,27.06490000000000,30.07230000000000,28.61150000000000
190,218.8041349000000,35.16970570000000,26.48950000000000,26.89420000000000,28.29220000000000
191,218.7989539000000,35.16990660000000,25.86720000000000,25.56560000000000,27.04650000000000
192,218.7981738000000,35.16964600000000,27.89780000000000,27.36240000000000,26.25960000000000
193,218.7907254000000,35.16980040000000,25.72800000000000,26.05420000000000,27.13440000000000
195,218.8049737000000,35.16974990000000,26.95220000000000,26.93640000000000,27.98290000000000
197,218.8076172000000,35.16973500000000,27.28140000000000,27.47760000000000,25.17660000000000
199,218.8011757000000,35.17048400000000,25.64910000000000,26.46690000000000,26.72290000000000
200,218.8075346000000,35.17132850000000,22.70810000000000,23.23340000000000,26.28410000000000
201,218.7861984000000,35.17001040000000,26.42380000000000,26.70080000000000,25.37530000000000
202,218.7879935000000,35.17006990000000,26.09450000000000,26.51740000000000,24.17720000000000
204,218.8025458000000,35.17031050000000,23.60190000000000,23.82760000000000,25.02500000000000
206,218.7940369000000,35.17021070000000,26.83280000000000,27.03050000000000,23.62040000000000
209,218.8030809000000,35.17174980000000,22.99120000000000,24.81130000000000,25.44730000000000
213,218.8094032000000,35.17028060000000,27.14690000000000,27.25620000000000,26.18710000000000
215,218.8009815000000,35.17063930000000,25.26160000000000,26.50590000000000,26.98960000000000
218,218.7905405000000,35.17079480000000,24.60120000000000,26.24230000000000,26.32530000000000
221,218.7894538000000,35.17046770000000,28.15580000000000,28.02810000000000,26.77160000000000
224,218.7981462000000,35.17049410000000,28.09620000000000,28.11350000000000,26.81240000000000
225,218.7991459000000,35.17098360000000,24.54240000000000,24.68110000000000,27.94650000000000
226,218.8003128000000,35.17063870000000,27.76610000000000,27.18420000000000,27.52100000000000
227,218.7861924000000,35.17081810000000,26.37040000000000,26.19180000000000,28.91290000000000
228,218.7869625000000,35.17073340000000,27.02050000000000,27.84690000000000,26.79580000000000
231,218.7876895000000,35.17127240000000,24.83970000000000,25.31900000000000,26.72770000000000
