ID,ra,dec,F_F140W,F_F775W,F_F606W,F_F435W,z
1995,189.0627900000000,62.13860100000000,26.64992636684660,27.12456775901717,27.60857052231941,27.68328232576579,0.03350000000000000
1996,189.1017040000000,62.14338700000000,19.44749479157969,21.04885605396138,22.17691887472111,23.07206204217940,0.9537000000000000
1997,189.1669480000000,62.14450600000000,17.99651582925173,18.66855085786163,19.15200564692607,19.98779628870530,0.08720000000000000
1998,189.2059120000000,62.13890200000000,24.50025911288443,25.07051661765311,25.57800529904024,26.42429220353127,3.107800000000000
2001,189.0929410000000,62.13868800000000,25.05445281090190,26.57971065675583,26.38652665548484,26.09921697036514,1.585700000000000
2002,189.1065990000000,62.13873000000000,26.11613587450321,26.39363204653207,27.09429860301874,29.25106833310376,0.5223000000000000
2003,189.2082100000000,62.13879500000000,27.27721629972653,27.25981158478724,27.06341880591608,26.63001712553149,1.506600000000000
2006,189.1177390000000,62.13877600000000,26.85113475228244,28.00771464199972,27.81733820721585,27.67271652483966,1.123600000000000
2010,189.2150190000000,62.13903200000000,25.09900263965368,25.29823462937287,25.52515496983561,26.34531991636071,3.040500000000000
2011,189.0721210000000,62.13896900000000,24.28881431521538,24.62675280002598,25.11475207848060,25.85013822845320,0.6143000000000000
2012,189.0422520000000,62.13873800000000,25.83408886803656,26.32076248301193,26.96566785304240,26.90297226832939,0.9111000000000000
2014,189.1270230000000,62.13886500000000,26.05108972959740,26.54008926829383,27.23793751985619,27.39641958829934,0.2651000000000000
2015,189.0679960000000,62.13883800000000,25.35830915758259,26.19693243380604,26.07811445593838,25.83122286259794,1.404800000000000
2017,189.1147590000000,62.13944100000000,24.35275578609041,25.52990095045594,25.64370169306423,25.63010785303239,1.563900000000000
2018,189.0849050000000,62.13945800000000,23.45883668508443,25.44723361208833,25.82817348510319,26.31678997853527,1.919760000000000
2020,189.1112940000000,62.14162400000000,20.48616466898862,21.42549192518102,22.23520995536216,23.27606462335315,0.5553000000000000
2023,189.2253570000000,62.13944700000000,21.95953501777190,24.44412916222825,25.51462196035815,26.96826614394744,1.675140000000000
2025,189.0427810000000,62.14172400000000,19.87544152261975,21.00201812896022,22.22948125775694,24.09046631034419,0.6372200000000000
2026,189.1720960000000,62.13904800000000,26.75198380289089,26.62538860615852,26.85105710861436,27.55071942874905,0.4396000000000000
2029,189.1474080000000,62.14060300000000,22.36401534865899,23.82788047486791,24.61637524081305,25.07613757507563,1.114100000000000
2032,189.1213410000000,62.13906500000000,27.55292873340299,28.11560201997717,28.10186941556409,28.05245257021282,0.4823000000000000
2033,189.0714970000000,62.13904400000000,25.61230711236794,27.04012514275151,27.12296312223594,27.04871761672720,1.605300000000000
2034,189.1114050000000,62.13917200000000,25.01124655952970,26.03105649566183,26.34559358805432,26.24047224013077,1.330300000000000
2035,189.2052280000000,62.13979500000000,22.75073101733848,23.34208460071784,23.75530471962563,24.71744331244201,0.3945000000000000
2036,189.1260680000000,62.13911600000000,26.57637588663061,26.60494385255194,26.92886435711072,27.99542780711115,0.2996000000000000
2037,189.0562000000000,62.13911400000000,25.30381902794662,26.08759253245291,26.20020042795028,26.40102885641298,1.620500000000000
2039,189.2070600000000,62.13957600000000,24.85242980834015,27.09165668988772,NaN,27.46938370003732,3.217800000000000
2040,189.0829440000000,62.13920000000000,24.15704244482870,24.83828048756918,25.61258766904547,25.90412634619773,0.8685000000000000
2042,189.2019810000000,62.13916900000000,25.26388444816633,25.94324514653591,26.06313111964596,26.01842575507299,1.448900000000000
2045,189.1839390000000,62.13936400000000,24.40858253509042,24.88975355366463,25.53957338652217,25.58013924032287,0.9467000000000000
2046,189.1135290000000,62.13951700000000,24.02739947660901,25.06967812005496,25.23065088751202,25.44264224960367,1.879100000000000
2047,189.0900930000000,62.13931700000000,24.75797080598658,25.19030784935343,25.23503294984820,25.34476849677795,2.322100000000000
2048,189.2205380000000,62.13974900000000,24.16822787427645,25.77228079087535,26.20514399770152,26.17390200318791,1.799300000000000
2049,189.0630250000000,62.13918200000000,27.04949887406015,27.13342428523938,27.28699661271114,27.52453038296118,1.648000000000000
2052,189.1639790000000,62.13969600000000,23.73014892624789,24.42314156154831,25.03220354104249,26.27076252001686,0.3133000000000000
2053,189.0415940000000,62.13919400000000,25.60946936199787,26.56898588897680,26.63916179730743,26.52884999063882,1.727200000000000
2055,189.0410350000000,62.14051800000000,21.69294152091887,22.25042173454683,22.74404527487960,23.89951314659308,0.2949900000000000
2057,189.0381490000000,62.13921000000000,28.36491981497237,27.48053457077496,28.88700176073588,NaN,2.930100000000000
2060,189.1638260000000,62.13936500000000,25.94958956537489,26.18278902916665,26.33154587216530,26.51182383944233,1.992700000000000
2061,189.2068800000000,62.13940100000000,26.48455683695922,29.18919095324853,28.41468887111953,27.85376227646213,3.616100000000000
2064,189.1723360000000,62.13948300000000,24.92042391544026,26.07709798195707,27.15427484009695,28.32269312389359,0.8777000000000000
2065,189.0583980000000,62.14009500000000,23.41653794852604,24.45337178965154,25.03479690135460,25.22391126568331,1.132940000000000
2067,189.1088430000000,62.13963900000000,24.79693696789728,25.96105063866133,26.30295991249149,26.79390357653032,1.158400000000000
2068,189.1280550000000,62.13941600000000,26.14557464549910,26.22185618446079,26.62590299140140,27.33484708161807,0.2321000000000000
2071,189.2107520000000,62.13974500000000,24.35777707628394,24.93054384222560,25.30000368559163,26.51855656513679,3.296100000000000
2073,189.0489630000000,62.13946300000000,24.75994387234509,25.49005033430738,25.41257881984135,25.58674712835955,1.481100000000000
2074,189.1694340000000,62.13948200000000,25.62561864162126,26.28800518917029,26.52767878277293,27.58254665216051,0.4953000000000000
2075,189.1980210000000,62.13973000000000,24.98058362831777,25.90274153409734,25.98778051563832,26.48409244929817,2.080600000000000
2076,189.0784830000000,62.14076400000000,21.96638013619933,23.35689986466404,23.84217390237064,24.20851326735254,1.691230000000000
2080,189.1254620000000,62.14017400000000,23.66655597739846,24.67271809155347,24.70743773861441,24.98271550530609,2.052620000000000
